ansatzbezeichnung;kontenbezeichnung;voranschlag-rj
Stadtforste;Instandh. forstliche Gründe Ökolog. Ausgleichsmaßnahmen;25000
Stadtforste;Instandhaltung von Straßenbauten;25000
Stadtforste;Instandhaltung von sonstigen Grundstückseinrichtungen;10000
Stadtforste;Instandhaltung von Gebäuden und Bauten;6000
Stadtforste;Fremdreinigung;12000
Stadtforste;Instandhaltung Traktor, Fiskal-LKW und Geräte;6000
Stadtforste;Instandhaltung von sonstigen Anlagen;1000
Stadtforste;Instandh. Werkzeuge  und Motorsägen;1500
Stadtforste;Transporte;30000
Stadtforste;Telekommunikationsdienste;3000
Stadtforste;Telekommunikationsdienste / Datennetz;3200
Stadtforste;Kreditzinsen;1300
Stadtforste;Skontoaufwand;3000
Stadtforste;Versicherungen;1700
Stadtforste;Versicherungen Kfz;2800
Stadtforste;Versicherungen Sonstige;3600
Stadtforste;Schadensfälle;1000
Stadtforste;Miet- und Pachtaufwand Maschinen u. Geräte;10000
Stadtforste;Miet- und Pachtaufwand Fahrzeuge und Maschinen;0
Stadtforste;Pachtzinse;1500
Stadtforste;Öffentliche Abgaben;24000
Stadtforste;Kosten Christbäume;500
Stadtforste;Fremdleistungen Nutz- u. Brennholzerzeugung;90000
Stadtforste;Fremdleistungen Aufforstung;12000
Stadtforste;Hackarbeiten;24000
Stadtforste;Amtspauschalien und Repräsentationsaufwendungen;2000
Stadtforste;Entgelte für sonstige Leistungen;20000
Stadtforste;DV-Programme;4000
Stadtforste;Sonstige Aufwendungen;1000
Stadtforste;Sonstige Ausgaben / Holzwerbebeiträge;1000
Stadtforste;Zuwendung an Verbände  und Vereine;800
Stadtwerke-Wasserwerk;Investitionszuschuss Trinkwasserkraftwerk Saminatal;62000
Stadtwerke-ÖPNV (Stadtbus);Transfers an Unternehmen;2100000
Anschlagwesen;Energiebezüge;4000
Anschlagwesen;Fremdreinigung;1400
Anschlagwesen;Instandh. Vitrinen;2000
Anschlagwesen;Versicherungen;300
Anschlagwesen;Sonstige Ausgaben;0
Anschlagwesen;Gewinnentnahmen von Unternehmungen;4700
Schlosswirtschaft Schattenburg;Betriebsausstattung;19000
Schlosswirtschaft Schattenburg;A.o. Instandh. Gebäude;5000
Schlosswirtschaft Schattenburg;Versicherungen;4700
Schlosswirtschaft Schattenburg;Gewinnentnahmen von Unternehmungen;5300
Montforthaus;Betriebsausstattung;86100
Montforthaus;Schuldentilgung;160000
Montforthaus;Schuldentilgung;160000
Montforthaus;Schuldentilgung;35000
Montforthaus;Schuldentilgung;62000
Montforthaus;Schuldentilgung;180000
Montforthaus;Geringwertige Wirtschaftsgüter;0
Montforthaus;Geldbezüge Angestellte;13800
Montforthaus;Geldbezüge Aushilfen;1000
Montforthaus;Reisegebühren;0
Montforthaus;Dgb-Angest.u.Arbeiter;3000
Montforthaus;Pensionskassa DG-Beitrag;100
Montforthaus;Mitarbeitervorsorge (Abfertigung neu);200
Montforthaus;Fla-Btg.F.Angest.U.Arb;600
Montforthaus;Instandhaltung von Grund und Boden;10000
Montforthaus;A.o. Instandh. Gebäude;115400
Montforthaus;Kreditzinsen;9800
Montforthaus;Kreditzinsen;110400
Montforthaus;Kreditzinsen;74900
Montforthaus;Kreditzinsen;3900
Montforthaus;Kreditzinsen;39600
Montforthaus;Kreditzinsen;34500
Montforthaus;Versicherungen;24300
Montforthaus;Öffentliche Abgaben;3000
Montforthaus;Transfers an Unternehmen / SKF;2451000
Montforthaus;Transfers an Unternehmen / Montforter Zwischentöne;125000
Altes Hallenbad Reichenfeld;Betriebsausstattung;3000
Altes Hallenbad Reichenfeld;Schuldentilgung;9000
Altes Hallenbad Reichenfeld;Geringwertige Wirtschaftsgüter;500
Altes Hallenbad Reichenfeld;A.o. Instandh. Gebäude;13500
Altes Hallenbad Reichenfeld;Kreditzinsen;1400
Altes Hallenbad Reichenfeld;Versicherungen;1200
Altes Hallenbad Reichenfeld;Transfers an Unternehmen / SKF;130000
Vorarlberghalle;A.o. Instandh. Gebäude;36000
Vorarlberghalle;Kreditzinsen;700
Vorarlberghalle;Versicherungen;10400
Vorarlberghalle;Miet- und Pachtaufwand Liegenschaften;100
Vorarlberghalle;Öffentliche Abgaben;600
Vorarlberghalle;Transfers an Unternehmen / FBF;405500
Garage Hirschgraben;Energiebezüge;1000
Garage Hirschgraben;Instandhaltung von Gebäuden und Bauten;1000
Garage Hirschgraben;Versicherungen;1000
Garage Hirschgraben;Gewinnentnahmen von Unternehmungen;28000
Garage Illsteg;Betriebskosten;5500
Garage Illsteg;Gewinnentnahmen von Unternehmungen;1700
Garage Gymnasiumplatz;Geringwertige Wirtschaftsgüter;200
Garage Gymnasiumplatz;Energiebezüge;3700
Garage Gymnasiumplatz;Instandhaltung von Gebäuden und Bauten;5000
Garage Gymnasiumplatz;Versicherungen;2000
Garage Gymnasiumplatz;Öffentliche Abgaben;0
Garage Gymnasiumplatz;Gewinnentnahmen von Unternehmungen;5900
Parkplatz Wichnergasse;Instandhaltung von sonstigen Grundstückseinrichtungen;1000
Parkplatz Wichnergasse;Kreditzinsen;1900
Parkplatz Wichnergasse;Versicherungen;500
Parkplatz Wichnergasse;Miet- und Pachtaufwand Liegenschaften;65500
Parkplatz Jahnplatz;Kreditzinsen;400
Finanzverwaltung;Amtsausstattung;1500
Finanzverwaltung;Gw. Wg. des Anlagevermögens;2500
Finanzverwaltung;Schreib- und Büromittel;5000
Finanzverwaltung;Druckwerke;3500
Finanzverwaltung;Geldbezüge Angestellte;1018600
Finanzverwaltung;Geldbezüge Aushilfen;14200
Finanzverwaltung;Reisegebühren;8700
Finanzverwaltung;Sonst.Aufwandsentschä.;11300
Finanzverwaltung;Mehrleistungsvergütung;10000
Finanzverwaltung;Dgb-Angest.Und Arbeit.;212000
Finanzverwaltung;Kommunalsteuer;3500
Finanzverwaltung;Pensionskassa DG-Beitrag;8900
Finanzverwaltung;Mitarbeitervorsorge (Abfertigung neu);10900
Finanzverwaltung;Fla-Btg.F.Angest.U.Arb;39200
Finanzverwaltung;Sonst.Personalaufwand;1000
Finanzverwaltung;Instandh. Einrichtung;1000
Finanzverwaltung;Beratungskosten;10000
Finanzverwaltung;Schadensfälle;4000
Finanzverwaltung;Miete für Kopiergerät und Kopien;8400
Finanzverwaltung;Kostenbeiträge für Leistungen;0
Finanzverwaltung;Amtspauschalien und Repräsentationsaufwendungen;1000
Finanzverwaltung;Entgelte für sonstige Leistungen;500
Finanzverwaltung;Datenverarbeitungsprogramme;1000
Finanzverwaltung;Sonstige Aufwendungen;100
Geldverkehr;Zinsen Girokonten;500
Geldverkehr;Geldverkehrs- und Bankspesen;26000
Geldverkehr;Kursverluste bei Finanzgeschäften;33000
Geldverkehr;Bankspesen (Terminals);1400
Geldverkehr;Centdifferenzen Ausgaben;100
Geldverkehr;Öffentliche Abgaben / KEST;1000
Geldverkehr;Sonstige Aufwendungen;100
Rücklagen;Zuführung an Rücklage;0
Beteiligungen GIG u.a.;Erwerb von Beteiligungen;983600
Beteiligungen GIG u.a.;Zuführung an Rücklage;6800
Beteiligungen GIG u.a.;Investitions- und Tilgungszuschüsse zwischen Unternehmungen;1473200
Ausschließliche Gemeindeabgaben;Zuführung an Rücklage;0
Ausschließliche Gemeindeabgaben;Schadensfälle;100000
Ausschließliche Gemeindeabgaben;Sonstige Aufwendungen / Hundemarken;0
Landesumlage;Transfers an Länder / Landesumlage;2360300
Aufgenommene Darlehen;Zinsen Kassakredit;5000
Stadtvertretung;Personalkostenersätze;22500
Stadtvertretung;Transfers von Ländern / Beitrag Bürgermeisterpensionsfonds;163700
Gemeindeamt;Fahrzeuge;0
Gemeindeamt;Einn. aus Kanzleibetrieb;500
Gemeindeamt;Leistungserlöse;100000
Gemeindeamt;Inserate Feldk. Aktuell/u.a.;32000
Gemeindeamt;Druckkostenbeiträge;0
Gemeindeamt;Kostenersätze;100
Gemeindeamt;Verwaltungskostenbeitrag;9200
Gemeindeamt;Ersätze von Postentgelten;0
Gemeindeamt;Ersätze von Rechts- und Anwaltskosten;15000
Gemeindeamt;Sonstige Einnahmen;0
Gemeindeamt;Transfers von Ländern / Personalkostenzuschüsse;40000
Bürgerservicestelle;Sonstige Erträge;0
Bürgerservicestelle;Zuschüsse AMS;0
Elektronische Datenverarbeitung;Veräußerung von Waren;200
Elektronische Datenverarbeitung;Leistungserlöse;8000
Elektronische Datenverarbeitung;Kostenersätze;90000
Elektronische Datenverarbeitung;Transfers von Ländern / Personalkostenzuschüsse;3000
Repräsentationskosten;Sonstige Einnahmen;0
Repräsentationskosten;Transfers von Finanzunternehmen;0
Statistisches Amt;Kostenersätze Bund;6900
Wahlamt;Kostenersätze Bund;46000
Wahlamt;Kostenersätze Führung Wählerevidenz;12000
Amtsgebäude Schmiedgasse 1-5;Miet- und Pachteinnahmen;9500
Amtsgebäude Schmiedgasse 1-5;Sonstige Einnahmen;0
Amtsgebäude Schmiedgasse 1-5;Zuschüsse Land;0
Bauamt;Leistungserlöse;30000
Bauamt;Ersätze Personalkosten;2500
Bauamt;Sonstige Einnahmen;3000
Bauamt;Zuschüsse AMS;0
Amt für Raumordung und Raumplanung;Sonstige Erträge;1500
Amt für Raumordung und Raumplanung;Transfers von Bund;0
Amt für Raumordung und Raumplanung;Zuschüsse Land;70000
Digitale geographische Daten;Ersätze f.digitale geograph.Daten;4000
Beiträge an Verbände, Vereine;Kostenersätze;8000
Städtekontakte und Partnerschaften;Kostenbeiträge (Kostenersätze) für sonstige Leistungen;0
Pensionen;Zahlungen der PVA;13500
Pensionen;Pensionsbeitrag Beamte;70000
Pensionen;Pensionssicherungsbtg. Pensionisten;80000
Bezugsvorschüsse und Darlehen;Darlehen an private Haushalte / Rückzahlung Dienstgeberdarlehen;5000
Bezugsvorschüsse und Darlehen;Rückzahlung von Gehaltsvorschüssen;20000
Personalausbildung und Personalfortbildung;Sonstige Einnahmen;0
Gemeinschaftspflege;Sonstige Erträge;0
Stadtpolizei;Veräußerungen von technischen Anlagen, Fahrzeugen und Maschinen;0
Stadtpolizei;Ersätze von Garagenmieten;300
Stadtpolizei;Sonstige Erträge;100
Stadtpolizei;Transfers von Ländern / Personalkostenzuschüsse;170000
Stadtpolizei;Strafgelder u.Strafverfahrenskosten;800000
Stadtpolizei;Einn. aus Fundgegenständen;4000
Stadtarrest;Kostenersätze;100
Stadtarrest;Sonstige Erträge;0
Bau- und Feuerpolizei;Leistungserlöse;15000
Bau- und Feuerpolizei;Kostenersätze;11000
Feuerwehr Feldkirch;Beihilfen aus LFW-Fonds;22000
Feuerwehr Gisingen;Sonstige Erträge;0
Feuerwehr Tosters;Sonstige Erträge;0
Abteilung Sport und Bildung;Transfers von Ländern / Personalkostenzuschüsse;15000
Volksschule Levis/Stadt;Beitrag anderer Gemeinden zum Betriebsaufwand;2600
Volksschule Levis/Stadt;Beiträge der Eltern;75000
Volksschule Levis/Stadt;Miet- und Pachteinnahmen;9000
Volksschule Levis/Stadt;Sonstige Erträge;1200
Volksschule Levis/Stadt;Transfers von Ländern / Personalkostenzuschüsse;75000
Volksschule Levis/Stadt;Zuschüsse Land;100
Volksschule Levis/Stadt;Beitrag anderer Gemeinden zum Investitionsaufwand;2000
Volksschule Altenstadt;Beitrag anderer Gemeinden zum Betriebsaufwand;300
Volksschule Altenstadt;Beiträge der Eltern;37000
Volksschule Altenstadt;Miet- und Pachteinnahmen;3200
Volksschule Altenstadt;Transfers von Ländern / Personalkostenzuschüsse;72000
Volksschule Altenstadt;Zuschüsse Land;100
Volksschule Gisingen Sebastianplatz;Beiträge der Eltern;25000
Volksschule Gisingen Sebastianplatz;Miet- und Pachteinnahmen;5000
Volksschule Gisingen Sebastianplatz;Transfers von Ländern / Personalkostenzuschüsse;39000
Volksschule Gisingen Sebastianplatz;Zuschüsse Land;100
Volksschule Gisingen Oberau;Beitrag anderer Gemeinden zum Betriebsaufwand;300
Volksschule Gisingen Oberau;Beiträge der Eltern;62000
Volksschule Gisingen Oberau;Transfers von Ländern / Personalkostenzuschüsse;99000
Volksschule Gisingen Oberau;Zuschüsse Land;100
Volksschule Nofels;Beitrag anderer Gemeinden zum Betriebsaufwand;1000
Volksschule Nofels;Beiträge der Eltern;25000
Volksschule Nofels;Miet- und Pachteinnahmen;4000
Volksschule Nofels;Transfers von Ländern / Personalkostenzuschüsse;60000
Volksschule Nofels;Zuschüsse Land;100
Volksschule Tosters;Beitrag anderer Gemeinden zum Betriebsaufwand;1700
Volksschule Tosters;Miet- und Pachteinnahmen;4000
Volksschule Tosters;Zuschüsse Land;100
Volksschule Tosters;Beitrag anderer Gemeinden zum Investitionsaufwand;1300
Volksschule Tisis;Beitrag anderer Gemeinden zum Betriebsaufwand;8200
Volksschule Tisis;Beiträge der Eltern;35000
Volksschule Tisis;Miet- und Pachteinnahmen;4000
Volksschule Tisis;Transfers von Ländern / Personalkostenzuschüsse;66000
Volksschule Tisis;Zuschüsse Land;100
Mittelschule Levis;Beitrag anderer Gemeinden zum Betriebsaufwand;10000
Mittelschule Levis;Beiträge der Eltern;23000
Mittelschule Levis;Miet-und Pachteinnahmen;9200
Mittelschule Levis;Sonstige Erträge;0
Mittelschule Levis;Transfers von Ländern / Personalkostenzuschüsse;12000
Mittelschule Levis;Zuschüsse Land;100
Mittelschule Levis;Beitrag anderer Gemeinden zum Investitionsaufwand;4000
Mittelschule Gisingen-Oberau;Beitrag anderer Gemeinden zum Betriebsaufwand;5500
Mittelschule Gisingen-Oberau;Beiträge der Eltern;18000
Mittelschule Gisingen-Oberau;Miet- und Pachteinnahmen;19500
Mittelschule Gisingen-Oberau;Sonstige Erträge;0
Mittelschule Gisingen-Oberau;Transfers von Ländern / Personalkostenzuschüsse;24000
Mittelschule Gisingen-Oberau;Zuschüsse Land;100
Mittelschule Gisingen-Oberau;Beitrag anderer Gemeinden zum Investitionsaufwand;5000
Pädagogisches Förderzentrum;Beitrag anderer Gemeinden zum Betriebsaufwand;43000
Pädagogisches Förderzentrum;Miet- und Pachteinnahmen;5000
Pädagogisches Förderzentrum;Transfers von Ländern / Personalkostenzuschüsse;42000
Pädagogisches Förderzentrum;Zuschüsse Land;100
Polytechnische Schule;Beitrag and. Gemeinden zum Betriebsaufwand;89000
Polytechnische Schule;Miet- und Pachteinnahmen;6000
Polytechnische Schule;Zuschüsse Land;100
Förderung des Schulbetriebes;Beiträge der Eltern;100
Förderung des Schulbetriebes;Kostenersätze Bund Schulbus;45000
Förderung des Schulbetriebes;Transfers von Ländern;13000
Kindergarten Feldkirch;Beiträge der Eltern;14500
Kindergarten Feldkirch;Materialbeiträge;2300
Kindergarten Feldkirch;Ersatz Land Elternbtg. 5-jährige;5300
Kindergarten Feldkirch;Miet- und Pachteinnahmen;600
Kindergarten Feldkirch;Sonstige Erträge;100
Kindergarten Feldkirch;Transfers von Ländern / E-Check Kindergärten;0
Kindergarten Feldkirch;Transfers von Ländern / Personalkostenzuschüsse;75000
Kindergarten Feldkirch;Kinderbetreuungszuschuss Land;2000
Kindergarten Levis;Beiträge der Eltern;19400
Kindergarten Levis;Materialbeiträge;2000
Kindergarten Levis;Ersatz Land Elternbtg. 5-jährige;3500
Kindergarten Levis;Miet- und Pachteinnahmen;500
Kindergarten Levis;Sonstige Erträge;100
Kindergarten Levis;Transfers von Ländern / Personalkostenzuschüsse;205000
Kindergarten Levis;Transfers von Ländern / Personalkostenzuschüsse;0
Kindergarten Levis;Kinderbetreuungszuschuss Land;2000
Kindergarten Altenstadt Kirchgasse;Beiträge der Eltern;9100
Kindergarten Altenstadt Kirchgasse;Materialbeiträge;2500
Kindergarten Altenstadt Kirchgasse;Ersatz Land Elternbtg. 5-jährige;5300
Kindergarten Altenstadt Kirchgasse;Miet- und Pachteinnahmen;1300
Kindergarten Altenstadt Kirchgasse;Sonstige Erträge;100
Kindergarten Altenstadt Kirchgasse;Transfers von Ländern / Personalkostenzuschüsse;120000
Kindergarten Altenstadt Kirchgasse;Kinderbetreuungszuschuss Land;2000
Kindergarten Altenstadt Im Grisseler;Beiträge der Eltern;35000
Kindergarten Altenstadt Im Grisseler;Materialbeiträge;4600
Kindergarten Altenstadt Im Grisseler;Ersatz Land Elternbtg. 5-jährige;14000
Kindergarten Altenstadt Im Grisseler;Miet- und Pachteinnahmen;500
Kindergarten Altenstadt Im Grisseler;Sonstige Einnahmen;100
Kindergarten Altenstadt Im Grisseler;Transfers von Ländern / Personalkostenzuschüsse;267000
Kindergarten Altenstadt Im Grisseler;Kinderbetreuungszuschuss Land;2000
Kindergarten Gisingen Runastraße;Beiträge der Eltern;22800
Kindergarten Gisingen Runastraße;Materialbeiträge;3100
Kindergarten Gisingen Runastraße;Ersatz Land Elternbtg. 5-jährige;6300
Kindergarten Gisingen Runastraße;Sonstige Erträge;100
Kindergarten Gisingen Runastraße;Transfers von Ländern / Personalkostenzuschüsse;256000
Kindergarten Gisingen Runastraße;Kinderbetreuungszuschuss Land;2000
Kindergarten Gisingen Oberau;Beiträge der Eltern;40500
Kindergarten Gisingen Oberau;Materialbeiträge;3900
Kindergarten Gisingen Oberau;Ersatz Land Elternbtg. 5-jährige;6700
Kindergarten Gisingen Oberau;Transfers von Ländern / Personalkostenzuschüsse;305000
Kindergarten Gisingen Oberau;Kinderbetreuungszuschuss Land;2000
Kindergarten Gisingen Oberau;Zuschüsse AMS;10000
Kindergarten Gisingen Hämmerlestraße;Beiträge der Eltern;6800
Kindergarten Gisingen Hämmerlestraße;Materialbeiträge;1800
Kindergarten Gisingen Hämmerlestraße;Ersatz Land Elternbtg. 5-jährige;3500
Kindergarten Gisingen Hämmerlestraße;Miet- und Pachteinnahmen;1000
Kindergarten Gisingen Hämmerlestraße;Sonstige Erträge;100
Kindergarten Gisingen Hämmerlestraße;Transfers von Ländern / Personalkostenzuschüsse;133000
Kindergarten Gisingen Hämmerlestraße;Kinderbetreuungszuschuss Land;2000
Kindergarten Gisingen Hämmerlestraße;Zuschüsse AMS;22000
Kindergarten Gisingen Am Oberen Riegel;Beiträge der Eltern;22400
Kindergarten Gisingen Am Oberen Riegel;Materialbeiträge;3300
Kindergarten Gisingen Am Oberen Riegel;Ersatz Land Elternbtg. 5-jährige;9500
Kindergarten Gisingen Am Oberen Riegel;Sonstige Erträge;100
Kindergarten Gisingen Am Oberen Riegel;Transfers von Ländern / Personalkostenzuschüsse;215000
Kindergarten Gisingen Am Oberen Riegel;Kinderbetreuungszuschuss Land;2000
Kindergarten Nofels Franz Heimgasse;Beiträge der Eltern;6800
Kindergarten Nofels Franz Heimgasse;Materialbeiträge;1800
Kindergarten Nofels Franz Heimgasse;Ersatz Land Elternbtg. 5-jährige;4900
Kindergarten Nofels Franz Heimgasse;Miet- und Pachteinnahmen;7000
Kindergarten Nofels Franz Heimgasse;Sonstige Erträge;0
Kindergarten Nofels Franz Heimgasse;Transfers von Ländern / Personalkostenzuschüsse;154000
Kindergarten Nofels Franz Heimgasse;Kinderbetreuungszuschuss Land;2000
Kindergarten Nofels Rheinstraße;Beiträge der Eltern;29700
Kindergarten Nofels Rheinstraße;Materialbeiträge;3000
Kindergarten Nofels Rheinstraße;Ersatz Land Elternbtg. 5-jährige;6300
Kindergarten Nofels Rheinstraße;Miet- und Pachteinnahmen;1000
Kindergarten Nofels Rheinstraße;Sonstige Erträge;100
Kindergarten Nofels Rheinstraße;Transfers von Ländern / Personalkostenzuschüsse;252000
Kindergarten Nofels Rheinstraße;Kinderbetreuungszuschuss Land;2000
Kindergarten Nofels Rheinstraße;Zuschüsse AMS;0
Ganztageskindergarten Nofels Magdalenastraße;Beiträge der Eltern;74000
Ganztageskindergarten Nofels Magdalenastraße;Materialbeiträge;3200
Ganztageskindergarten Nofels Magdalenastraße;Ersatz Land Elternbtg. 5-jährige;2100
Ganztageskindergarten Nofels Magdalenastraße;Sonstige Erträge;100
Ganztageskindergarten Nofels Magdalenastraße;Transfers von Ländern / Personalkostenzuschüsse;261000
Ganztageskindergarten Nofels Magdalenastraße;Kinderbetreuungszuschuss Land;2000
Ganztageskindergarten Nofels Magdalenastraße;Zuschüsse AMS;0
Kindergarten Tosters Alvierstraße;Beiträge der Eltern;38300
Kindergarten Tosters Alvierstraße;Materialbeiträge;4500
Kindergarten Tosters Alvierstraße;Ersatz Land Elternbtg. 5-jährige;9800
Kindergarten Tosters Alvierstraße;Miet- und Pachteinnahmen;500
Kindergarten Tosters Alvierstraße;Transfers von Ländern / Personalkostenzuschüsse;265000
Kindergarten Tosters Alvierstraße;Kinderbetreuungszuschuss Land;2000
Kindergarten Tosters Alvierstraße;Zuschüsse AMS;0
Kindergarten Tosters Riedteilweg;Beiträge der Eltern;19700
Kindergarten Tosters Riedteilweg;Materialbeiträge;3100
Kindergarten Tosters Riedteilweg;Ersatz Land Elternbtg. 5-jährige;9500
Kindergarten Tosters Riedteilweg;Miet- und Pachteinnahmen;1600
Kindergarten Tosters Riedteilweg;Sonstige Erträge;100
Kindergarten Tosters Riedteilweg;Transfers von Ländern / Personalkostenzuschüsse;234000
Kindergarten Tosters Riedteilweg;Kinderbetreuungszuschuss Land;2000
Kindergarten Tisis Rheinbergerstraße;Beiträge der Eltern;17400
Kindergarten Tisis Rheinbergerstraße;Materialbeiträge;2200
Kindergarten Tisis Rheinbergerstraße;Ersatz Land Elternbtg. 5-jährige;4900
Kindergarten Tisis Rheinbergerstraße;Miet- und Pachteinnahmen;1400
Kindergarten Tisis Rheinbergerstraße;Sonstige Erträge;100
Kindergarten Tisis Rheinbergerstraße;Transfers von Ländern / Personalkostenzuschüsse;146000
Kindergarten Tisis Rheinbergerstraße;Kinderbetreuungszuschuss Land;2000
Ganztagskindergarten Tisis;Beiträge der Eltern;23000
Ganztagskindergarten Tisis;Materialbeiträge;2700
Ganztagskindergarten Tisis;Ersatz Land Elternbtg. 5-jährige;7000
Ganztagskindergarten Tisis;Transfers von Ländern / Personalkostenzuschüsse;170000
Ganztagskindergarten Tisis;Kinderbetreuungszuschuss Land;2000
Kindergarten Tisis Carina;Erlöse Gw.Wg.Einricht.;0
Kindergarten Tisis Carina;Beiträge der Eltern;106000
Kindergarten Tisis Carina;Materialbeiträge;3300
Kindergarten Tisis Carina;Ersatz Land Elternbtg. 5-jährige;2100
Kindergarten Tisis Carina;Miet-u.Pachteinnahmen;0
Kindergarten Tisis Carina;Sonstige Erträge;100
Kindergarten Tisis Carina;Transfers von Ländern / Personalkostenzuschüsse;321000
Kindergarten Tisis Carina;Kinderbetreuungszuschuss Land;2000
Kindergarten Tisis Carina;Zuschüsse Bund;100
Kindergarten Tisis Carina;Zuschüsse Land;100
Kindergarten Tisis Gallmist;Beiträge der Eltern;36000
Kindergarten Tisis Gallmist;Materialbeiträge;2700
Kindergarten Tisis Gallmist;Ersatz Land Elternbtg. 5-jährige;1400
Kindergarten Tisis Gallmist;Miet- und Pachteinnahmen;1300
Kindergarten Tisis Gallmist;Sonstige Erträge;100
Kindergarten Tisis Gallmist;Transfers von Ländern / Personalkostenzuschüsse;226000
Kindergarten Tisis Gallmist;Kinderbetreuungszuschuss Land;2000
Sonstige Vorschulische Belange;Beiträge der Eltern Sommerbetreuung;30000
Sonstige Vorschulische Belange;Sonstige Erträge;100
Sonstige Vorschulische Belange;Transfers von Ländern / Private Kinderbetreuung;100000
Sonstige Vorschulische Belange;Zuschüsse Land;100
Sonstige Vorschulische Belange;Zuschüsse Land;25000
Kindertagesbetreuungsstätte Praxishort Kaleidoskop;Beiträge der Eltern;37000
Kindertagesbetreuungsstätte Praxishort Kaleidoskop;Materialbeiträge;2500
Kindertagesbetreuungsstätte Praxishort Kaleidoskop;Sonstige Erträge;1200
Kindertagesbetreuungsstätte Praxishort Kaleidoskop;Transfers von Ländern / Personalkostenzuschüsse;56000
Jugendherberge Siechenhaus;Miet- und Pachteinnahmen;8000
Jugendhaus Graf-Hugo;Betriebskostenersätze;1300
Jugendhaus Graf-Hugo;Miet- und Pachteinnahmen;1500
Jugendhaus;Miet-u.Pachteinnahmen;50000
Allgemeine Jugendförderung;Entnahme Rücklage;30000
Allgemeine Jugendförderung;Leistungserlöse;500
Allgemeine Jugendförderung;Sonstige Erträge / Jugendarbeit;500
Allgemeine Jugendförderung;Sonstige Erträge / Semesterferienprogramm;1000
Allgemeine Jugendförderung;Sonstige Erträge / Osterferienprogramm;1000
Allgemeine Jugendförderung;Sonstige Erträge / Sommerferienprogramm;100
Allgemeine Jugendförderung;Sonstige Erträge / Kindermaskenball;200
Allgemeine Jugendförderung;Sonstige Erträge / Kinderkino;200
Allgemeine Jugendförderung;Sonstige Erträge / Kinderstadt;7000
Allgemeine Jugendförderung;Transfers von Ländern;5000
Sportplätze;Miet- und Pachtertrag;19500
Sportplätze;Einn. Werbefläche Skateplatz;1000
Sportplätze;Sonstige Einnahmen;0
Sportplätze;Kapitaltransfers aus Gemeinde-Bedarfszuweisungsmittel;0
Sporthalle Reichenfeld;Miet- und Pachteinnahmen;70000
Sporthalle Reichenfeld;Sonstige Einnahmen;100
Büchereien;Transfers von Ländern;11000
Allgemeine Förderung der Volksbildung;Einnahmen aus eigenen Veranstaltungen;100
Allgemeine Förderung der Volksbildung;Transfers von Ländern;300
Stadtbibliothek;Leistungserlöse;3000
Stadtbibliothek;Einnahmen aus eigenen Veranstaltungen;1500
Stadtbibliothek;Sonstige Einnahmen;300
Kulturamt;Erträge aus Leistungen;0
Kulturamt;Einnahmen Plakatierung;1000
Kulturamt;Sonstige Erträge;0
Kulturamt;Transfers von Ländern;0
Kulturamt;Zuschüsse AMS;0
Liechtensteinpalais;Miet-und Pachteinnahmen;2000
Musikschule;Einnahmen aus eigenen Veranstaltungen;1500
Musikschule;Lehrmittel- und Gastschulbeiträge;600000
Musikschule;Miet-und Pachteinnahmen;4000
Musikschule;Sonstige Einnahmen;1000
Musikschule;Transfers von Ländern / Personalkostenzuschüsse;620000
Musikschule;Zuschüsse von privaten Organisationen ohne Erwerbszweck;0
Musikschule;Zuschüsse Land;5000
Heimatgeschichte und -Museen;Transfers von Ländern;0
Stadtarchiv;Sonstige Einnahmen;600
Altstadterhaltung und Ortsbildpflege;Miet- und Pachtertrag / Fahnen;700
Altstadterhaltung und Ortsbildpflege;Sonstige Erträge;200
Maßnahmen der allgemeinen Sozialhilfe;Transfers von Ländern / Beitrag Sozialfonds;728200
Einrichtung der Behindertenhilfe, Besch.Werkst.Nofels;Miet- und Pachteinnahmen;10000
Entwicklungshilfe im Ausland;Spenden Rumänienprojekt;500
Sonstige Wohlfahrtsmaßnahmen;Einnahmen aus eigenen Veranstaltungen;5000
Sonstige Wohlfahrtsmaßnahmen;Kostenersätze für  Zivildiener;6000
Sonstige Wohlfahrtsmaßnahmen;Sonstige Einnahmen;0
Natur- und Landschaftsschutz;Sonstige Erträge;0
Natur- und Landschaftsschutz;Transfers von Ländern;9000
Reinhaltung der Luft;Ersatz nach Luftreinhaltegesetz  Land;42500
Reinhaltung der Luft;Sonstige Erträge;3100
Krankenanstalten Betriebsabgangsdeckung;Transfers von Ländern / Beitrag Gesundheitsfonds;926100
Landesstraßen;Kostenersätze;5000
Gemeindestraßen;Grundstücke / Grundablösen;0
Gemeindestraßen;Erlös Verkauf maschinelle Anlagen;0
Gemeindestraßen;Verkauf von Häusertafeln;9000
Gemeindestraßen;Miet-und Pachteinnahmen;12000
Gemeindestraßen;Nutz.Entgelt Öffentl.Gut;75000
Gemeindestraßen;Sonstige Erträge;13000
Gemeindestraßen;Zuschüsse Land;105000
Bauhof;Erlöse Verkauf Masch.Anl.;10400
Bauhof;Ersatz von anderen Vst  für Material;9000
Bauhof;Ersatz von Privaten  für Material;1200
Bauhof;Veräußerungen von Waren;0
Bauhof;Veräußerungen von Waren / Treibstoffe;0
Bauhof;Veräußerungen von Waren / Verumlagung;0
